iter	Passed	Remaining
0	2	266
1	5	254
2	7	242
3	9	224
4	11	223
5	14	221
6	16	222
7	19	218
8	21	214
9	23	214
10	26	212
11	28	210
12	31	207
13	33	205
14	35	203
15	38	200
16	40	198
17	43	196
18	45	194
19	47	191
20	50	188
21	52	185
22	54	182
23	57	181
24	59	178
25	61	175
26	63	172
27	65	169
28	68	166
29	70	163
30	72	161
31	74	158
32	76	155
33	78	152
34	80	149
35	82	146
36	84	143
37	86	141
38	88	138
39	90	135
40	92	133
41	93	128
42	95	126
43	97	123
44	98	120
45	101	118
46	103	116
47	105	114
48	107	111
49	109	109
50	111	106
51	113	104
52	115	102
53	117	100
54	118	97
55	120	94
56	122	92
57	124	90
58	126	87
59	128	85
60	131	84
61	133	82
62	135	79
63	137	77
64	139	74
65	140	72
66	143	70
67	144	68
68	146	66
69	148	63
70	150	61
71	152	59
72	153	56
73	155	54
74	157	52
75	159	50
76	161	48
77	163	46
78	164	43
79	166	41
80	168	39
81	169	37
82	171	35
83	173	33
84	175	30
85	177	28
86	179	26
87	180	24
88	182	22
89	184	20
90	186	18
91	188	16
92	190	14
93	191	12
94	193	10
95	195	8
96	196	6
97	198	4
98	200	2
99	202	0
